arrival_id,date,mandi_id,crop_name,variety,farmer_count,arrival_quantity_qtl
ARR0012424,2026-06-04,MANDI-026,Wheat,Hybrid,128.0,448.41
ARR0008271,2026-06-02,MANDI-014,Wheat,HD-2967,33.0,332.54
ARR0022724,2026-08-16,MANDI-056,Wheat,HD-2967,,415.88
ARR0012573,2026-06-24,MANDI-019,Maize,,112.0,1.0713
ARR0012098,2026-09-08,MANDI-050,Maize,Premium,,331.59
ARR0013701,2026-03-31,MANDI-049,Sugarcane,Local,105.0,119.93
ARR0010753,2026-10-07,MANDI-054,Cotton,HD-2967,45.0,187.68
ARR0022123,2026-07-15,MANDI-045,Mustard,Hybrid,24.0,393.67
ARR0003275,2026-04-08,MANDI-029,Mustard,PBW-343,129.0,14.84
ARR0002542,2026-08-14,MANDI-010,Mustard,Pusa-1121,109.0,93.28
ARR0016719,2026-05-25,MANDI-044,Maize,PBW-343,80.0,38.37
ARR0019527,2026-02-08,MANDI-042,Maize,HD-2967,26.0,170.77
ARR0009636,2026-03-31,MANDI-056,Maize,HD-2967,,37.3
ARR0010366,2026-01-16,MANDI-011,Sugarcane,Pusa-1121,65.0,44.83
ARR0005837,2026-06-27,MANDI-025,Wheat,,,454.74
ARR0002387,2026-01-18,MANDI-050,Sugarcane,HD-2967,,15.18
ARR0024112,2026-08-09,MANDI-006,Mustard,,102.0,34.63
ARR0010546,2026-01-09,MANDI-039,Wheat,,139.0,415.77
ARR0002154,2026-03-20,MANDI-001,Rice,HD-2967,61.0,396.46000000000004
ARR0020380,2026-06-03,MANDI-028,Mustard,Pusa-1121,,99.87
ARR0021641,2026-08-15,MANDI-045,Mustard,HD-2967,41.0,391.19
ARR0004098,2026-03-25,MANDI-027,Cotton,Pusa-1121,137.0,111.01
,2026-06-18,MANDI-026,Maize,Pusa-1121,96.0,264.38
ARR0006088,2026-08-12,MANDI-019,Sugarcane,HD-2967,121.0,373.93
ARR0021143,2026-04-30,MANDI-024,Mustard,Premium,7.0,70.49
ARR0019959,2026-08-21,MANDI-022,Maize,PBW-343,85.0,383.43000000000006
ARR0001442,2026-05-31,MANDI-044,Rice,Local,97.0,113.89
ARR0004480,2026-08-04,MANDI-045,Wheat,Local,102.0,159.1
ARR0021197,2026-08-28,MANDI-021,Sugarcane,Hybrid,,197.48
ARR0020628,2026-06-12,MANDI-012,Sugarcane,PBW-343,71.0,350.53000000000003
ARR0001665,2026-07-30,MANDI-055,Rice,Local,,406.67
ARR0002938,2026-07-04,MANDI-016,Wheat,,114.0,162.36
ARR0019350,2026-03-25,MANDI-001,Wheat,Premium,,190.73000000000002
ARR0020205,2026-07-05,MANDI-037,Maize,Hybrid,17.0,73.47
ARR0015292,2026-07-15,MANDI-037,Wheat,PBW-343,53.0,36.0
ARR0019616,2026-10-04,MANDI-008,Maize,Hybrid,,82.61
ARR0022884,2026-12-05,MANDI-047,Maize,,33.0,194.32
ARR0003230,2026-04-03,MANDI-051,Mustard,PBW-343,6.0,380.55
ARR0003266,2026-04-24,MANDI-023,Sugarcane,,17.0,97.11
ARR0023966,2026-03-03,MANDI-017,Mustard,PBW-343,125.0,159.99
ARR0017190,2026-01-08,MANDI-002,Cotton,PBW-343,73.0,22.0
ARR0003048,2026-01-24,MANDI-016,Cotton,Premium,54.0,78.45
ARR0013641,2026-03-18,MANDI-018,Mustard,Premium,143.0,342.39
ARR0019876,2026-07-12,MANDI-054,Rice,,127.0,322.27
ARR0018787,2026-08-08,MANDI-044,Rice,Pusa-1121,69.0,336.73
ARR0020778,2026-08-03,MANDI-024,Mustard,HD-2967,113.0,127.9
ARR0002765,2026-02-28,MANDI-013,Mustard,Premium,62.0,361.74
ARR0014145,2026-01-31,MANDI-006,Sugarcane,Pusa-1121,18.0,469.92
ARR0023854,2026-06-05,MANDI-007,Sugarcane,,46.0,1.7705000000000002
ARR0012859,2026-03-20,MANDI-057,Cotton,PBW-343,,341.2900000000001
ARR0023766,2026-02-02,MANDI-025,Rice,HD-2967,88.0,175.88
ARR0009572,2026-10-05,MANDI-041,Maize,Premium,38.0,176.03000000000003
ARR0021131,2026-04-24,MANDI-040,Maize,Hybrid,146.0,309.07
ARR0022207,2026-03-25,MANDI-027,Rice,HD-2967,11.0,472.36
ARR0005385,2026-08-07,MANDI-028,Cotton,Hybrid,5.0,126.77
ARR0020517,2026-06-02,MANDI-026,Wheat,PBW-343,99.0,284.92
ARR0015213,2026-02-27,MANDI-005,Rice,PBW-343,122.0,54.32
,2026-02-04,MANDI-031,Maize,Local,60.0,431.25
ARR0010273,2026-03-06,MANDI-021,Mustard,,11.0,200.26
ARR0023476,2026-06-05,MANDI-023,Mustard,PBW-343,18.0,312.23
ARR0013815,2026-06-08,MANDI-009,Maize,HD-2967,83.0,270.41
ARR0023287,2026-02-08,MANDI-003,Cotton,PBW-343,127.0,44.41
ARR0016192,2026-07-03,MANDI-023,Maize,,59.0,455.6
ARR0011823,2026-01-13,MANDI-004,Rice,HD-2967,124.0,60.33
ARR0005816,2026-01-24,MANDI-039,Sugarcane,PBW-343,135.0,158.3
ARR0006030,2026-04-22,MANDI-033,Cotton,HD-2967,128.0,43.0
ARR0010009,2026-03-10,MANDI-004,Rice,,,291.4
ARR0022129,2026-02-10,MANDI-040,Sugarcane,Local,131.0,458.13
ARR0015481,2026-09-06,MANDI-028,Maize,Premium,68.0,7.0
ARR0020630,2026-08-16,MANDI-028,Rice,Local,36.0,325.83
ARR0005888,2026-07-03,MANDI-049,Maize,,,182.46
ARR0006650,2026-06-09,MANDI-043,Rice,Local,128.0,182.75
ARR0002363,2026-09-03,MANDI-026,Maize,Pusa-1121,29.0,239.47
ARR0010446,2026-08-05,MANDI-026,Maize,Pusa-1121,21.0,178.99
ARR0009069,2026-05-15,MANDI-022,Cotton,Pusa-1121,76.0,59.18
