mandi_id,mandi_name,district,state,mandi_type,total_area_acres
MANDI-001,Hyderabad Mandi,Ludhiana,Punjab,Private,11.0
MANDI-006,Kochi Mandi,Amritsar,Punjab,Direct,34.0
MANDI-037,Jorhat Grain Market,Kurukshetra,Haryana,APMC,
MANDI-046,Baranagar Market,Unknown,Uttar Pradesh,Private,13.0
MANDI-014,Bathinda Grain Market,Patiala,Punjab,Private,25.0
MANDI-055,Chandigarh APMC,Bareilly,Uttar Pradesh,APMC,12.0
MANDI-034,Ludhiana Grain Market,Ambala,Haryana,Unknown,11.0
MANDI-049,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh,Private,39.0
MANDI-013,Aurangabad Market,Patiala,Punjab,Private,25.0
MANDI-001,Hyderabad Mandi,Ludhiana,Punjab,Private,11.0
MANDI-047,Orai Market,Muzaffarnagar,Uttar Pradesh,APMC,
MANDI-051,Gulbarga Market,Saharanpur,Uttar Pradesh,Private,11.0
MANDI-032,Chapra Grain Market,Unknown,Haryana,Private,20.0
MANDI-004,Khandwa Grain Market,Ludhiana,Punjab,APMC,15.0
MANDI-053,Panihati Market,Saharanpur,Uttar Pradesh,APMC,
MANDI-018,Jaunpur Mandi,Moga,Punjab,Unknown,9.0
MANDI-009,Jamshedpur APMC,Jalandhar,Punjab,APMC,28.0
MANDI-007,Nashik Mandi,Amritsar,Punjab,Private,45.0
MANDI-041,Gurgaon Grain Market,Fatehabad,Haryana,APMC,39.0
MANDI-005,Bhilwara Grain Market,Amritsar,Punjab,Direct,29.0
MANDI-044,Dehri Mandi,Agra,Uttar Pradesh,APMC,41.0
MANDI-020,Kadapa Mandi,Ferozepur,Punjab,Direct,26.0
MANDI-035,Guntakal Mandi,Ambala,Haryana,APMC,17.0
MANDI-006,Kochi Mandi,Amritsar,Punjab,Direct,34.0
MANDI-026,Tadipatri Mandi,Hisar,Haryana,Private,35.0
MANDI-057,Gorakhpur APMC,Bareilly,Unknown,Direct,7.0
MANDI-016,Kulti APMC,Bathinda,Punjab,Unknown,42.0
MANDI-028,Machilipatnam APMC,Hisar,Haryana,Unknown,33.0
MANDI-010,Dhule APMC,Jalandhar,Punjab,Direct,48.0
MANDI-031,Nangloi Jat Mandi,Sirsa,Haryana,APMC,22.0
MANDI-027,Kochi APMC,Hisar,Haryana,APMC,39.0
MANDI-017,Parbhani Market,Unknown,Punjab,Private,8.0
MANDI-025,Dindigul APMC,Karnal,Haryana,APMC,
MANDI-056,Bilaspur Mandi,Bareilly,Uttar Pradesh,Private,28.0
MANDI-012,Gaya Grain Market,Patiala,Punjab,Unknown,48.0
MANDI-033,South Dumdum Grain Market,Ambala,Haryana,APMC,31.0
MANDI-054,Nangloi Jat Grain Market,Saharanpur,Unknown,Direct,45.0
MANDI-042,Erode Mandi,Fatehabad,Haryana,Private,38.0
MANDI-038,Jalandhar Mandi,Kurukshetra,Haryana,Private,36.0
MANDI-030,Patiala APMC,Sirsa,Unknown,Unknown,19.0
MANDI-045,Farrukhabad Mandi,Meerut,Uttar Pradesh,Private,25.0
MANDI-002,Solapur Mandi,Ludhiana,Unknown,APMC,37.0
MANDI-022,Eluru APMC,Karnal,Haryana,Unknown,45.0
MANDI-003,Vijayawada Mandi,Ludhiana,Punjab,Unknown,19.0
MANDI-048,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh,Direct,27.0
MANDI-040,Jodhpur Market,Fatehabad,Haryana,Direct,40.0
MANDI-036,Mysore Grain Market,Kurukshetra,Haryana,APMC,9.0
MANDI-024,Jaipur Mandi,Karnal,Haryana,APMC,24.0
MANDI-050,Durg Market,Muzaffarnagar,Uttar Pradesh,Unknown,47.0
MANDI-011,Arrah Mandi,Patiala,Punjab,Unknown,34.0
MANDI-023,Panihati APMC,Karnal,Haryana,Private,38.0
MANDI-019,Karimnagar Grain Market,Moga,Punjab,Private,40.0
MANDI-031,Nangloi Jat Mandi,Sirsa,Haryana,APMC,22.0
MANDI-021,Guna Mandi,Ferozepur,Punjab,APMC,21.0
MANDI-008,Bijapur Market,Amritsar,Punjab,APMC,23.0
MANDI-043,Danapur Mandi,Agra,Uttar Pradesh,Private,
MANDI-015,Amravati Grain Market,Bathinda,Punjab,APMC,13.0
MANDI-029,Asansol Grain Market,Sirsa,Haryana,Direct,
MANDI-052,Kakinada APMC,Saharanpur,Uttar Pradesh,Unknown,48.0
MANDI-039,Anand Grain Market,Unknown,Haryana,APMC,5.0
