record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp
PR001650,2026-07-26,MANDI-005,,Cotton,6850.985817820893,7570.17,7210.58,6620.0
PR000246,2026-07-17,MANDI-028,Fatehabad,Cotton,6944.79,7654.18,0.7299,
PR010091,2026-09-01,MANDI-011,Jalandhar,Rice,0.1857,2013.18,1935.06,2183.0
PR000982,2026-05-24,MANDI-012,Ferozepur,Maize,1873.34,0.1986,0.193,0.209
PR001708,2026-08-18,MANDI-013,Karnal,Cotton,5878.62,6574.283051769212,6226.45,0.662
PR004312,2026-01-24,MANDI-001,Patiala,Cotton,,7324.58,,6620.0
PR000288,2026-08-08,MANDI-031,Hisar,Wheat,2270.14,2823.4429693584902,2546.79,2275.0
PR002536,2026-01-06,MANDI-036,Kurukshetra,Wheat,1961.63,0.234,2151.0,2275.0
PR009427,2026-08-12,MANDI-050,,Wheat,2277.53,2458.0,2367.64,2275.0
PR003418,2026-09-02,MANDI-011,Ambala,Sugarcane,3156.94,3890.02,,0.35
PR001250,2026-10-02,MANDI-002,Ambala,Maize,0.1866,2193.0,0.2029,0.209
PR008959,2026-06-24,MANDI-057,,Mustard,,0.685,0.629,0.565
PR004344,2026-04-14,MANDI-040,Amritsar,Rice,1989.0202736774606,2138.04,2063.53,2183.0
PR008040,2026-06-25,MANDI-053,Ludhiana,Wheat,2016.0,0.23,2158.4,0.2275
PR002773,2026-06-04,MANDI-050,Ambala,Sugarcane,3391.89,4215.91,3804.0,0.35
PR007582,2026-01-24,MANDI-043,Ferozepur,Rice,,2521.03,2303.861807881144,2183.0
PR001390,2026-06-17,MANDI-026,Patiala,Sugarcane,3661.39,4282.71,3972.05,0.35
PR011220,2026-01-17,MANDI-010,Bathinda,Cotton,6054.0,7147.5,0.6601,6620.0
PR008656,2026-03-26,MANDI-005,Patiala,Rice,2172.99,2312.15,,
PR000719,2026-04-29,,Kurukshetra,Maize,1878.0,2114.21,,2090.0
PR005849,2026-01-23,MANDI-016,Patiala,Cotton,0.6473,7364.56,6918.61,0.662
PR007394,2026-03-25,MANDI-024,Karnal,Sugarcane,3074.76,3382.79,0.3229,3500.0
PR004644,2026-05-25,MANDI-026,,Mustard,5725.0,6263.77,5994.455824860666,5650.0
PR002514,2026-07-21,MANDI-007,Hisar,Maize,1988.4744912268284,2299.86,2144.167343486675,2090.0
PR010213,2026-02-17,MANDI-043,Jalandhar,Wheat,0.1958,2157.0,2057.3,2275.0
PR011212,2026-05-31,MANDI-008,,Sugarcane,3280.592160219738,4064.73,3672.66,3500.0
PR011958,2026-02-04,,Bathinda,Wheat,2215.53,2450.04,2332.79,2275.0
PR002913,2026-08-08,MANDI-027,Sirsa,Mustard,5826.290509325942,6273.0,6049.51,5650.0
PR000358,2026-01-31,MANDI-030,Ludhiana,Maize,1867.38,,0.1949,2090.0
PR008575,2026-07-20,,Moga,Sugarcane,3509.61,0.4356,3932.8,
PR010458,2026-01-10,,Bathinda,Cotton,0.5627,6650.37,6138.929109845614,6620.0
PR000951,2026-06-25,MANDI-056,Hisar,Rice,2226.17,0.2525,0.2376,2183.0
PR002105,2026-01-20,MANDI-039,Kurukshetra,Cotton,6155.47,6702.0,6428.56,6620.0
PR007951,2026-02-01,MANDI-024,Kurukshetra,Maize,2174.42,2348.9471523051525,2262.0,
PR001266,2026-04-25,MANDI-019,Fatehabad,Sugarcane,0.35,0.4245,3873.0,3500.0
PR006089,2026-02-03,MANDI-046,Ferozepur,Mustard,5142.95,5632.66,5387.81,5650.0
PR010862,2026-02-11,MANDI-042,Ambala,Mustard,5493.827969524963,6761.44,6127.63,5650.0
PR011617,2026-03-18,MANDI-053,Bathinda,Maize,2009.38,2235.4,2122.39,
PR001291,2026-08-03,MANDI-046,Jalandhar,Rice,1867.54,2189.09,2028.32,0.2183
PR001377,2026-06-14,MANDI-007,,Rice,1970.8,2447.0,2209.0,
PR003954,2026-03-31,MANDI-017,Kurukshetra,Rice,1971.7,0.2237,2104.0,0.2183
PR003093,2026-05-20,MANDI-008,Ludhiana,Rice,1975.0,2358.74,2166.76,2183.0
PR000689,2026-02-04,MANDI-054,,Wheat,2293.99,2786.0,0.254,
PR002359,2026-04-09,MANDI-026,Hisar,Cotton,6497.0,7003.03,6749.79,6620.0
PR004233,2026-01-29,MANDI-049,,Rice,2082.58,,2270.31,2183.0
PR009368,2026-04-05,MANDI-014,Karnal,Cotton,6403.67,6871.07,6637.37,6620.0
PR005203,2026-03-29,MANDI-024,Ferozepur,Wheat,2124.53,2316.88,2220.7,2275.0
PR006235,2026-05-20,MANDI-006,Hisar,Cotton,,7062.16,6842.78,
PR011846,2026-09-05,MANDI-031,Ambala,Wheat,2076.39,2414.63,2245.51,
PR001340,2026-01-16,MANDI-007,Jalandhar,Rice,0.1857,2122.46,1989.82,2183.0
PR008186,2026-01-25,,Moga,Rice,2005.68,2112.51,2059.1,
PR007070,2026-09-05,MANDI-022,,Rice,2038.27,2509.7,2273.98,2183.0
PR004775,2026-02-23,,Jalandhar,Wheat,2097.0,0.2609,2353.0,2275.0
PR006448,2026-02-20,MANDI-035,Ludhiana,Maize,1881.78,2319.1,2100.44,
PR003034,2026-01-29,MANDI-055,Amritsar,Wheat,2375.39,0.2905,2640.12,2275.0
PR002947,2026-05-13,,Patiala,Cotton,6131.0,7320.96,6725.89,6620.0
PR002729,2026-02-03,MANDI-008,Karnal,Mustard,5787.16,6077.88,5932.52,5650.0
PR007737,2026-02-20,MANDI-012,Amritsar,Wheat,0.1964,2203.07,2083.63,2275.0
PR005676,2026-07-01,MANDI-007,Fatehabad,Maize,1976.82,0.2419,2197.94,2090.0
PR007093,2026-01-31,MANDI-051,,Rice,2285.36,2595.15,,2183.0
PR008805,2026-03-11,MANDI-046,Ludhiana,Mustard,4820.0,0.5699,5259.53,5650.0
PR005981,2026-07-23,MANDI-013,Kurukshetra,Wheat,2341.23,0.2517,2429.19,2275.0
PR000060,2026-05-14,,Ferozepur,Mustard,5811.32,6329.19,6070.26,5650.0
PR001371,2026-04-06,MANDI-030,Ferozepur,Cotton,0.566,6087.83,0.5874,6620.0
PR003239,2026-03-01,,Karnal,Rice,1872.0,2174.23,2023.3017368627486,2183.0
PR002056,2026-08-22,MANDI-009,Ferozepur,Rice,1908.1409099896425,2009.0,0.1958,
PR005252,2026-05-01,MANDI-032,Jalandhar,Wheat,2151.86,2675.13,2413.49,
PR009259,2026-06-01,MANDI-055,,Sugarcane,3152.0,0.3337,3244.6003698960367,0.35
PR002760,2026-02-15,MANDI-036,Karnal,Cotton,6302.29,7206.81,6754.55,6620.0
PR004003,2026-08-25,MANDI-029,Kurukshetra,Sugarcane,3083.37,0.3315,0.3199,0.35
PR008764,2026-05-31,MANDI-039,Fatehabad,Cotton,6311.65,6815.97,6563.81,
PR004575,2026-08-28,MANDI-040,Ferozepur,Rice,2184.65,2619.32,2401.982891153114,2183.0
PR001751,2026-07-19,MANDI-047,Ludhiana,Mustard,5637.61,,6334.03,
PR001077,2026-07-22,,Kurukshetra,Mustard,5178.312104348875,,5757.03,5650.0
PR005404,2026-01-22,MANDI-034,Sirsa,Maize,1786.3365949009074,1926.15,1856.24,2090.0
PR006339,2026-04-25,MANDI-051,Karnal,Cotton,6696.62,7530.0,7113.15,6620.0
PR009691,2026-05-11,MANDI-010,Fatehabad,Sugarcane,3201.15,3361.389536195206,3281.27,3500.0
PR010145,2026-02-02,MANDI-013,Kurukshetra,Wheat,2069.22,2309.0,2188.9685772991033,2275.0
PR001300,2026-08-02,MANDI-046,Patiala,Maize,1918.0,2158.02,2038.25,2090.0
PR007631,2026-03-02,MANDI-055,Bathinda,Wheat,2386.55,2953.19,2669.87,2275.0
PR000891,2026-07-17,MANDI-050,Amritsar,Sugarcane,3360.97,3721.24,3541.11,0.35
PR000564,2026-05-01,MANDI-039,Hisar,Sugarcane,3448.28,4181.0,3814.67,3500.0
PR000602,2026-05-29,MANDI-009,Ambala,Rice,1924.0,2048.1,1986.0,0.2183
PR010104,2026-06-29,MANDI-040,Karnal,Wheat,2287.5,2466.13,2376.82,2275.0
PR000234,2026-03-06,MANDI-046,Sirsa,Sugarcane,3421.0,0.3726,3573.51,3500.0
PR005480,2026-07-20,MANDI-050,Moga,Mustard,5592.07,6362.979993983251,5977.53,5650.0
PR010827,2026-06-25,MANDI-005,Fatehabad,Sugarcane,3119.64,3645.1,3382.37,3500.0
PR000661,2026-07-26,MANDI-029,Fatehabad,Rice,,2666.93,2401.0,2183.0
PR002565,2026-05-07,MANDI-043,Ludhiana,Maize,,2198.0,2022.0,2090.0
PR004659,2026-01-23,MANDI-010,Sirsa,Maize,1944.04,2211.0,2077.0,2090.0
PR008402,2026-06-16,MANDI-027,Fatehabad,Maize,1845.0,2143.52,1994.33,
PR007197,2026-05-04,MANDI-033,Ambala,Sugarcane,3653.020121077713,4059.89,0.3856,3500.0
PR000500,2026-04-02,MANDI-035,Moga,Rice,2181.045527366979,2399.84,2290.0,0.2183
PR002708,2026-08-17,MANDI-053,Sirsa,Cotton,6858.04,7844.4388757834595,7351.24,0.662
PR008975,2026-05-04,MANDI-046,Karnal,Wheat,2350.0,2685.0,2517.0,2275.0
PR007085,2026-11-03,MANDI-039,Ambala,Mustard,5727.0,0.6192,5959.0,5650.0
PR003234,2026-08-31,MANDI-010,Hisar,Mustard,0.5344,6188.0,0.5766,5650.0
PR010364,2026-06-29,MANDI-014,Fatehabad,Rice,1936.0,2035.72,,2183.0
PR003552,2026-05-18,,Karnal,Maize,1791.21,1980.88,1886.04,
PR003156,2026-07-28,MANDI-052,Bathinda,Maize,2067.21,0.2382,2224.78,2090.0
PR001607,2026-06-18,,Patiala,Mustard,5565.0,6412.727054232409,0.5989,
PR002564,2026-04-06,MANDI-010,Ambala,Maize,2121.78,0.2587,2354.0,2090.0
PR001680,2026-09-02,MANDI-038,Bathinda,Rice,2063.33,0.2387,2225.08,2183.0
PR004686,2026-04-30,MANDI-051,,Mustard,5523.1,6271.94,0.5898,
PR010671,2026-12-08,MANDI-036,Sirsa,Sugarcane,3521.0,3829.9,3675.0,3500.0
PR003180,2026-03-02,MANDI-057,Patiala,Rice,2102.2,2284.3,2193.25,2183.0
PR007921,2026-06-13,MANDI-057,Patiala,Wheat,2274.0,2519.92,2397.03,2275.0
PR009782,2026-03-30,MANDI-045,,Mustard,4983.72,6078.7,5531.21,5650.0
PR007375,2026-05-26,MANDI-007,Sirsa,Cotton,6948.75,0.7354,7151.48,6620.0
PR003698,2026-02-28,MANDI-003,Jalandhar,Maize,,2455.0,2321.22,2090.0
PR011382,2026-05-20,MANDI-047,Karnal,Maize,0.1923,2057.96,1990.53,2090.0
PR000927,2026-08-16,MANDI-042,Bathinda,Wheat,1971.5,2367.71,0.217,2275.0
PR011519,2026-03-27,MANDI-030,Jalandhar,Mustard,5653.22,6810.92,6232.0,5650.0
PR009637,2026-10-03,MANDI-056,Hisar,Mustard,5115.5,,0.5462,5650.0
PR001637,2026-04-23,MANDI-048,Ludhiana,Rice,2010.1534847915866,2209.05,2110.0,
PR004876,2026-08-12,,Fatehabad,Cotton,6345.534975638505,7199.0,6772.33,
PR001068,2026-02-27,MANDI-043,Moga,Rice,2093.86,2212.47,2153.17,2183.0
PR006220,2026-05-31,MANDI-021,Bathinda,Maize,1888.0,2027.39,1957.5956597046059,2090.0
PR008164,2026-04-16,,Hisar,Rice,2145.539983472816,2347.05,2246.3,2183.0
PR004486,2026-06-05,,Hisar,Maize,1887.5,2254.54,2071.0,2090.0
PR001657,2026-05-26,,Jalandhar,Sugarcane,3058.0,3448.7883456534482,3253.0,3500.0
PR000636,2026-07-30,MANDI-001,Jalandhar,Mustard,0.583,6522.04,6175.78,0.565
PR008714,2026-01-19,MANDI-044,Bathinda,Sugarcane,3275.4225337385774,3868.2,3572.0,3500.0
PR006554,2026-12-05,MANDI-019,Ferozepur,Wheat,2043.0,0.2169,2106.18,
PR007451,2026-05-06,MANDI-049,Hisar,Rice,2133.49,2430.74,2282.12,0.2183
PR004826,2026-02-27,MANDI-008,Moga,Mustard,5305.6683659374585,5842.61,5574.14,0.565
PR003124,2026-04-07,MANDI-002,Patiala,Cotton,6280.49,7576.15,6928.32,6620.0
