sensor_id,timestamp,humidity_percent,temperature_c,rainfall_mm
SEN047,2026-08-28 05:30:00,46.0,20.0,43.8
SEN034,,55.0,29.61111111111111,1.88
SEN020,,,18.9,19.9
SEN035,,49.0,22.11111111111111,23.114
SEN048,,81.0,,43.9
SEN035,2026-03-17 05:30:00,47.0,,28.9
SEN013,,43.0,23.88888888888889,32.4
SEN040,,92.0,33.611111111111114,
SEN027,,36.0,22.1,-48.1
SEN034,,51.0,,
SEN031,,38.0,16.6,32.4
SEN045,,41.0,39.0,42.1
SEN011,,32.0,29.9,16.2
SEN004,,35.0,19.388888888888893,42.3
SEN020,,,22.88888888888889,16.0
SEN026,,80.0,39.111111111111114,13.7
SEN020,,39.0,19.777777777777775,-42.0
SEN047,,53.0,29.8,45.0
SEN035,,52.0,,-7.3
UNKNOWN,,75.0,29.1,34.3
SEN032,,38.0,31.3,6.2
SEN046,,86.0,30.0,1.6
SEN021,,80.0,,-15.9
SEN042,,63.0,36.611111111111114,5.842
SEN042,,89.0,15.722222222222221,
SEN043,,44.0,37.8,
SEN042,,38.0,33.4,0.78
SEN013,,56.0,28.3,12.4
SEN021,,78.0,,32.5
SEN049,,80.0,33.6,7.2
SEN006,,82.0,21.7,7.2
SEN041,,33.0,28.22222222222222,-26.3
SEN035,,48.0,,28.4
SEN050,,40.0,20.500000000000004,21.5
SEN002,,73.0,35.111111111111114,-40.2
SEN007,,62.0,23.1,1.84
SEN005,,80.0,33.0,40.132
SEN029,,94.0,28.000000000000004,17.018
SEN022,,60.0,21.38888888888889,14.477999999999998
SEN015,,87.0,25.777777777777782,14.9
SEN012,,94.0,15.5,1.28
SEN029,,69.0,21.888888888888893,
SEN043,,76.0,33.6,27.4
SEN023,,50.0,18.4,43.18
SEN038,,92.0,23.7,45.5
SEN010,,80.0,22.5,11.4
UNKNOWN,,,30.9,1.01
SEN003,,47.0,26.611111111111114,29.4
SEN046,,36.0,29.3,-15.0
SEN016,,89.0,26.7,5.2
SEN034,,59.0,39.9,27.432
SEN002,,57.0,22.7,48.767999999999994
SEN017,,77.0,19.6,-2.7
UNKNOWN,,52.0,23.388888888888886,10.6
UNKNOWN,,59.0,23.1,25.145999999999997
SEN043,,44.0,38.72222222222222,1.778
SEN035,,32.0,38.6,3.7
SEN047,,84.0,21.5,19.2
SEN004,,85.0,,4.3
SEN041,,37.0,,43.18
SEN020,,94.0,,33.019999999999996
SEN030,,72.0,19.8,-19.7
SEN023,,58.0,35.8,28.0
SEN009,,81.0,24.8,0.8
SEN044,,82.0,17.27777777777778,16.4
SEN041,,91.0,29.38888888888889,1.96
SEN027,,55.0,,17.8
SEN040,,72.0,28.0,0.72
UNKNOWN,,82.0,25.0,0.5
SEN002,,59.0,30.5,7.2
SEN015,,80.0,31.27777777777778,0.61
SEN001,,94.0,,16.5
SEN007,2026-03-08 05:30:00,90.0,21.9,-2.4
SEN023,,49.0,32.0,36.5
SEN001,,75.0,37.611111111111114,25.6
SEN031,,90.0,24.1,20.7
SEN004,,63.0,30.0,
SEN028,,58.0,38.72222222222222,39.116
UNKNOWN,,67.0,,0.6
SEN010,,53.0,17.2,-46.5
UNKNOWN,,,37.888888888888886,18.6
SEN014,,39.0,35.22222222222222,41.3
SEN005,,68.0,24.9,12.191999999999998
SEN010,,50.0,,26.0
SEN036,,,18.72222222222222,3.7
SEN021,,93.0,21.5,12.7
SEN024,,69.0,,41.4
